"Дата создания";"Контекст";"Категория";"Заголовок";"Тип";"Приоритет";"Завершён";"Дата изменения";"Дата начала";"Срок";"Дата выполнения";"Заметки";"Список";"Проект";"Проект - Описание";"Проект - Статус"
"02.11.2020 10:33";"";"";"Тестовая заметка";"INBOX";"1001.0";"false";"02.11.2020 13:06";"";"";"";"";"";"";"";""
"18.11.2019 07:32";"";"";"Адаптировать под себя чек-лист в задаче еженедельного обзора";"WEEK";"224.0";"false";"22.01.2020 08:42";"";"";"";"В вашем списке задач уже есть периодическая задача на обзор системы личной эффективности. Эту задачу вам надо выполнять раз в неделю для поддержания списка задач в актуальном состоянии. При этом, лучше уделять ей всего 2—3 минуты в неделю, чем не выполнять вовсе.
 
Просмотрите чеклист к задаче на еженедельный обзор и:<ol><li>Добавьте пункты для обработки каждого источника входящих</li><li>Уберите лишние или непонятные пункты</li><li>Добавьте специфичные для вас пункты, которые хотелось бы выполнять раз в неделю</li></ol>


Некоторые подсказки по периодическим обзорам вы можете найти в этом документе: http://cdn2.hubspot.net/hubfs/1820050/Webinar_Docs/Review_Checklists.pdf 
Выберете подходящий для себя день недели для обзора (по умолчанию это понедельник)
 ";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Выгрузить мысли из памяти во входящие";"WEEK";"223.0";"false";"22.01.2020 08:42";"";"";"";"Самый большой рассадник непринятых решений всегда с нами – это наша голова. Чтобы вытащить из нее все, что там хранится, вдумчиво просмотрите список спусковых крючков: http://cdn2.hubspot.net/hubfs/1820050/Webinar_Docs/Spuskovy-e-kryuchki.pdf 
Если какой—то спусковой крючок выдирает из вашей памяти какую-то важную мысль, то добавьте ее во входящие Micromiles.
 
Время на выполнение: 10-15 минут
 ";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Разобрать входящие в MaxDone, выгруженные ранее из головы";"WEEK";"222.0";"false";"22.01.2020 08:42";"";"";"";"Посмотрите фрагмент видео о диаграмме разбора входящих (с текущего момента + 10 минут): http://www.youtube.com/watch?v=jt3_sq8LQYM&amp;t=46m44s 

В соответствии с этой ссылкой обработайте ваши входящие в MaxDone (если вы уже прошли этап прочистки мозга):
1. Выделите из входящих задачи и правильно сформулируйте их (смотрите подсказки о правильной формулировке: http://www.youtube.com/watch?v=jt3_sq8LQYM&amp;t=52m40s)
2. По каждому проекту создайте Цель в Micromiles
";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Провести еженедельный обзор системы";"UNDEFINED";"221.0";"false";"22.01.2020 08:42";"29.12.2019 21:00";"29.12.2019 22:00";"";"Еженедельные обзор – залог актуальности системы. А актуальность определяет то, доверяете ли вы своему списку задач или нет.
 
Если проводить обзор становится сложно или вы чувствуете, что «оно превращается в помойку, надо найти время чтобы основательно все перетряхнуть, но это потом…» - это первый признак опасности!

О том, как и зачем проводить обзоры рассказано здесь: http://www.youtube.com/watch?v=jt3_sq8LQYM&amp;t=01h46m30s
";"> - Опустошить входящие (уточнить какие)
> - Просмотреть список задач: выкинуть лишние, переформулировать устаревшие, добавить забытые
> - Просмотреть список целей, добавить новых задач, если необходимо
> - Просмотреть календарь на 2 недели вперед. Надо ли что-то делать в связи с этим?
> - Выбрать задачи для выполнения на этой неделе";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Провести ежедневный обзор";"UNDEFINED";"220.0";"false";"22.01.2020 08:42";"26.12.2019 21:00";"26.12.2019 22:00";"";"Ежедневный обзор – это 2-3 минутный ритуал, позволяющий вам держать в актуальном состоянии коробочки с задачами на эту неделю и на сегодн";"> - Обработать источники входящих (если там загажено - делайте это в рамках отдельной регулярной задачи)
> - Вспомнить сегодняшний день, записать то, что не удалось записать во время
> - Просмотреть список выполненного сегодня. Нужно ли еще что-то сделать?
> - Переформулировать задачи, которые остались в коробочке «На сегодня»
> - Просмотреть «На неделю» и перенести необходимой в «Сегодня»";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Посвятить 15 минут обработке старых входящих";"UNDEFINED";"219.0";"false";"22.01.2020 08:42";"21.01.2020 12:00";"21.01.2020 13:00";"";"Скорее всего, у вас есть огромна куча старых входящих и их надо разобрать. Если вы поставите себе задачу «Разобрать всю кучу входящих одним махом» то с очень хорошей вероятностью эта задача будет прокрастинироваться бесконечно долго. Мы пойдем другим путем…
 
Раз в день выделяйте себе 15 минут (которые можете отмерять при помощи таймера на смартфоне) и за эти 15 минут разбирайте столько входящих, сколько сможете.
 
Если вдруг эта задача тоже начнет пропускаться и откладываться на потом, то переименуйте ее в «Посвятить 10 (или даже 5) минут обработке старых входящих»
 
Удалить эту задачу, после того, как старые долги во «входящих» будут разобраны
 ";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Перенести текущие задачи из всех источников в MaxDone";"WEEK";"218.0";"false";"22.01.2020 08:42";"";"";"";"Если у вас были предыдущие неудачные попытки начать работать со своей личной эффективностью, в результате которых у вас появилось множество всевозможных списков, то сейчас самое время начать сводить их все в кучу для последующей обработки.
 
Просмотрите все ваши старые инструменты и перенесите из них то, что вы когда-то считали задачами во «Входящие» Micromiles. Больше ничего не делайте, просто свалите все в одну кучу. Обработка будет происходить в рамках выполнения отдельной задачи.
 ";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Сформулировать вопросы по джедайской технике и задать их на форуме";"WEEK";"215.0";"false";"22.01.2020 08:42";"";"";"";"К этому моменту вы уже должны многое освоить и многое понять. Но также очень возможно, что вы столкнулись с рядом вопросов, на которые пока не нашли ответов.

Потратьте 25 минут и посмотрите, нет ли ответов на ваши вопросы на форуме:   http://forum.mnogosdelal.ru/ 

  
Если вы не нашли ответов на свои вопросы, тогда смело создавайте новую тему.
";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
"18.11.2019 07:32";"";"";"Проверить себя по чек-листу джедая. Сформулировать задачи на дальнейшее развитие";"WEEK";"214.0";"false";"22.01.2020 08:42";"";"";"";"Пришло время проверить, на сколько хорошо вы следуете джедайским техникам.
 
Здесь лежит чек-лист: http://mnogosdelal.ru/wp-content/uploads/2015/05/Kontrol-ny-e-voprosy-po-dzhedajskoj-tehnike.pdf
 
Проверьте себя по пунктам. Если вам надо что-то где-то усовершенствовать, то поставьте соответствующие задачи";"";"Освоить джедайскую технику";"Этот шаблон служит для помощи в освоении джедайских техник – сплава знаний, навыков и умений, позволяющих успевать больше, уставать меньше и при этом еще и практически перестать нервничать.

Чтобы ознакомиться с основами джедайских техник посмотрите это видео: http://www.youtube.com/watch?v=jt3_sq8LQYM 
О том, почему нужно осваивать джедайские техники даются намеки вот в этом видео: https://www.youtube.com/watch?v=RbOkgLa1XjM
 ";"postponed"
